iter	Passed	Remaining
0	3	320
1	5	286
2	8	267
3	10	252
4	13	248
5	15	240
6	18	239
7	21	245
8	23	240
9	26	236
10	28	232
11	31	231
12	34	229
13	37	227
14	39	222
15	41	218
16	43	214
17	46	211
18	48	206
19	51	205
20	53	201
21	56	198
22	58	195
23	60	192
24	63	189
25	65	186
26	67	183
27	69	179
28	71	176
29	74	173
30	76	170
31	78	167
32	81	164
33	83	161
34	85	158
35	87	156
36	90	153
37	92	151
38	95	148
39	97	146
40	99	143
41	100	138
42	102	136
43	105	133
44	107	131
45	109	128
46	111	126
47	114	123
48	116	121
49	118	118
50	121	116
51	123	114
52	125	111
53	128	109
54	129	105
55	131	103
56	134	101
57	136	98
58	138	96
59	141	94
60	143	91
61	145	89
62	148	87
63	150	84
64	153	82
65	155	80
66	157	77
67	159	75
68	162	72
69	164	70
70	166	68
71	168	65
72	171	63
73	173	60
74	175	58
75	178	56
76	180	53
77	182	51
78	184	49
79	186	46
80	188	44
81	191	42
82	193	39
83	196	37
84	198	35
85	200	32
86	202	30
87	205	27
88	207	25
89	209	23
90	212	20
91	214	18
92	216	16
93	218	13
94	220	11
95	223	9
96	225	6
97	227	4
98	229	2
99	233	0
